mean_r,mean_g,mean_b,std_r,std_g,std_b,mean_gray,std_gray,entropy,mean_h,mean_s,mean_v,std_h,std_s,std_v,Soil Type
0.6659179687500001,0.5837277879901961,0.40620308670343136,0.22376535453162819,0.182654540362298,0.16533518983126258,0.588055300245098,0.1919756831260204,7.347043499437501,0.11892616421568628,0.40827971813725494,0.6694316789215686,0.036351757349891066,0.08073667702291543,0.218531256781949,Arid
0.5955796185661764,0.5282647824754902,0.3960813036151961,0.10404712594066577,0.13170555872171513,0.19436012756357995,0.5333974800857842,0.12226323761504372,6.833478549854361,0.1866220511642157,0.4164388020833333,0.6203010110294117,0.1689296543869225,0.15725571624899812,0.11962090135569578,Arid
0.7555884267769608,0.5869705499387253,0.3806602328431373,0.10168634576366552,0.08535459960060078,0.06635174623623877,0.6138633578431372,0.08640020804778802,6.337225116465554,0.08946269914215686,0.494079350490196,0.7555884267769608,0.004997066457079915,0.05721686323798102,0.10168634576366552,Arid
0.7886163449754904,0.6123678768382352,0.41416973039215693,0.10019986842997768,0.0738352783672443,0.04962665777283041,0.6424728094362744,0.0780234204358041,5.860740818339387,0.08699544270833331,0.4707318474264707,0.7886862362132354,0.009864733667376268,0.035835505685444524,0.09988772877317635,Arid
0.7608656939338235,0.6313419117647059,0.4503934972426471,0.0691384282724734,0.06078016736282896,0.0591565094154035,0.6494571461397058,0.06094855125205069,5.902638816304221,0.09649011948529412,0.4054716222426471,0.7608877144607844,0.04293235416824944,0.06721277672567934,0.06910023900402983,Arid
0.7666331571691178,0.611849915747549,0.4339719286151961,0.11409915432101765,0.09907777625429866,0.09186014450190803,0.6377182904411764,0.10249705067478454,5.749263077217384,0.08720894607843135,0.44023437500000007,0.7666331571691178,0.005166512279046816,0.05827156299965213,0.11409915432101765,Arid
0.6074812346813726,0.5069383808210784,0.443600643382353,0.3372580921178333,0.16908860551295365,0.207832088840109,0.5297937729779412,0.19061238554790938,7.369028518960071,0.2126857383578431,0.5855478324142157,0.7515366498161765,0.23123153947705574,0.17066931401990773,0.21987582047923077,Arid
0.6967687270220588,0.5086521522671569,0.3104233685661764,0.08465394722598421,0.05803882228765247,0.06285500868338124,0.5423110064338235,0.06092042828717044,5.626220791321689,0.10652573529411764,0.5483178232230391,0.697640931372549,0.12560870614620875,0.11205578097026683,0.08255056396392872,Arid
0.6419031479779411,0.6366632199754902,0.6225097656249999,0.14256140349573077,0.14767061209157417,0.15456864124803896,0.6366230085784313,0.14592639522678172,7.147182023655162,0.2815602022058823,0.07259114583333334,0.6554917279411765,0.22132395878326203,0.071395967299711,0.14548918962067514,Arid
0.6243336397058824,0.6854702818627451,0.755239928002451,0.2667648098529071,0.13504556848514615,0.250058411046536,0.6751474417892157,0.1376850057918818,6.808433274040175,0.3394272748161764,0.4710248161764705,0.9086789598651961,0.2514895049531661,0.15415525927831802,0.1637152614059874,Arid
0.8596631816789218,0.802319814644608,0.6952837775735294,0.10396645306915105,0.11073434183139237,0.11420854960142081,0.8072189031862746,0.10891130381616212,6.461123989994261,0.10712890625000002,0.1941683900122549,0.8596631816789218,0.006118293351681243,0.04893356857158081,0.10396645306915105,Arid
0.5304706648284314,0.5465140548406864,0.5788468903186275,0.17681926761223515,0.1672770882190122,0.28678729024478106,0.5454235600490196,0.1534862721434547,7.080628738311585,0.3086885340073529,0.424658203125,0.7130035998774511,0.2589908026865556,0.13570833024743986,0.21659873767883353,Arid
0.6553442861519608,0.5960793887867647,0.3884420955882353,0.20248474800626995,0.17091787255515892,0.1562749957104013,0.5901099111519608,0.16932254857751214,7.337484445655372,0.16182598039215687,0.3991373697916667,0.665637446384804,0.0755592723736023,0.21112305351039867,0.18940585188693582,Arid
